,EVENT_DATE,Attendance_Count,Sales_Count,AttendancePercentage,DAY,max_temp,min_temp,avgtemp,Rain,Snow,Weather,Temp,Temp_Diff,Promotions/Events,EVENT_USAGE_DATE,Sales_Singles_Count,Attendance_Singles_Count,Sales_Groups_Count,Attendance_Groups_Count,Sales_Packages_Count,Attendance_Packages_Count,Condition_Cloudy,Condition_Fog,Condition_Rain,Condition_Snow,Condition_Sunny,,,,,
48,7/14/24,4544,6954,0.65,Sun,88.7,68,77.6,0,0,SUNNY,87,9,WooSox Foundation Youth Clinic / Great Polar Park Writers Series - Dan Shaughnessy & Mike Barnicle / Leicester Town Takeover / WooCrew '24 Launch Party / Sunset Catch on the Field,7/14/24,2752,2260,1734,1229,2468,1055,0,1,0,0,0,,,,,
49,7/30/24,3396,5447,0.62,Tue,86,62.1,73.4,100,0,CLEAR,83,10,Sunday Funday / Caribbean Heritage Night / Homerun for Life / Kids Run the Bases,7/30/24,1481,1253,1279,902,2687,1241,0,1,0,0,0,,,,,
50,7/31/24,2443,4995,0.49,Wed,76.9,68.9,73,100,0,RAIN,0,73,Spencer Town Takeover / Taco & Tequila Tuesday / BP Tuesday,7/31/24,800,635,1305,905,2890,903,0,0,1,0,0,,,,,
51,8/1/24,4700,7225,0.65,Thu,88.7,69.4,77.7,0,0,SUNNY,88,10,First Responder Wednesday / Albanian Heritage Night / Jimmy Fund Night,8/1/24,1519,1295,3300,2595,2406,810,0,1,0,0,0,,,,,
52,8/2/24,5357,7940,0.67,Fri,89.7,69.1,77.5,100,0,CLOUDY,76,2,Los Wepas - Dminican Rebulic / STEM day / Throwback Thursday - Lenny DiNardo / Autograph Thursday,8/2/24,2823,2342,2526,1765,2591,1250,0,0,1,0,0,,,,,
53,8/3/24,5185,7820,0.66,Sat,85,69.5,74.8,100,0,PARTLY CLOUDY,88,13,Joe Torre Safe at Home / Town Takeover - Charlton / FIreworks - Country Classics,8/3/24,3095,2538,2354,1539,2371,1108,0,0,1,0,0,,,,,
54,8/4/24,4601,7083,0.65,Sun,77.6,69.3,72.6,100,0,PARTLY CLOUDY,85,12,WooSox Foundation Youth Clinic / Great Polar Park Writer Series - Alex Speier / Bark in the Park / Italian Heritage Night / Sunset Catch on the Field,8/4/24,2636,2244,1774,1209,2673,1148,0,0,1,0,0,,,,,
55,8/13/24,3374,5422,0.62,Tue,78.8,54.6,67.4,0,0,PARTLY CLOUDY,76,9,Sunday Funday / Town Takeover - Rutland & Sterling / Marvel Defender of the Diamond / Kids Run the Bases,8/13/24,1488,1297,1457,958,2477,1119,1,0,0,0,0,,,,,
56,8/14/24,3059,5195,0.59,Wed,80.3,59.4,68.8,100,0,CLOUDY,78,9,Sturbridge Town Takeover / Taco & Tequila Tuesday / BP Tuesday,8/14/24,1327,1122,1224,823,2644,1114,1,0,0,0,0,,,,,
57,8/15/24,2690,5014,0.54,Thu,80.7,59.7,67.6,100,0,DRIZZLE,68,0,First Responder Wednesday / Battle of Boroughs / Woostars,8/15/24,1018,837,1439,987,2557,866,0,0,1,0,0,,,,,
58,8/16/24,5590,8311,0.67,Fri,84.9,60.1,71.3,45,0,OVERCAST,72,1,Korean Heritage Night / Throwback Thursday - Jack Edwards,8/16/24,2917,2332,2819,1775,2575,1483,1,0,0,0,0,,,,,
59,8/17/24,5445,8304,0.66,Sat,83.1,63.8,72.6,45,0,SUNNY,79,6,Town Takeover - Southbridge / Best Buddies Day / Fireworks - The Best of British Invasion,8/17/24,3254,2727,2647,1536,2403,1182,0,1,0,0,0,,,,,
60,8/18/24,4781,7454,0.64,Sun,79,62.7,69.8,100,0,DRIZZLE,67,3,Challenger Clinic /  Writers Series - Doris Kearns Goodwin / Southeast Asian Heritage Night / Scout Sleepover / Wicked Worms of Worcester / Sunset Catch on the Field,8/18/24,2992,2481,1929,1223,2533,1077,0,0,1,0,0,,,,,
61,8/27/24,3111,5035,0.62,Tue,81.8,60.3,70.3,0,0,CLEAR,82,12,Sunday Funday / Strike Out Hunger Day / Los Wepas - Puerto Rico / Kids Run the Bases,8/27/24,1349,1192,801,558,2885,1361,0,1,0,0,0,,,,,
62,8/28/24,2079,4333,0.48,Wed,86.1,66.3,73,100,0,CLEAR,81,8,BT Tuesday / Taco & Tequila Tuesday / Woofster Bobblehead Giveaway / Battle of the Brookfields Town Takeover,8/28/24,661,572,880,610,2792,897,0,0,1,0,0,,,,,
63,8/29/24,3463,5551,0.62,Thu,71,53,60.7,0,0,PARTLY CLOUDY,69,8,"Less Likes More Love Night / Prostate Cancer Awareness Night / First Responder / Grafton, Upton, Mendon Town Takeover",8/29/24,1224,1103,1600,1237,2727,1123,1,0,0,0,0,,,,,
64,8/30/24,5267,7681,0.69,Fri,73.6,49.4,60.5,0,0,CLEAR,71,11,Shrewsbury Town Takeover,8/30/24,3000,2480,2045,1317,2636,1470,0,0,0,0,1,,,,,
65,8/31/24,5058,7550,0.67,Sat,74.6,56.3,66.1,100,0,CLOUDY,77,11,Polish Heritage Night / TV Theme Songs Firework,8/31/24,3632,2964,1505,893,2413,1201,0,1,0,0,0,,,,,
66,9/1/24,4288,6532,0.66,Sun,72.9,65.2,68.6,100,0,PARTLY CLOUDY,79,10,"Cornhold Tournament / Section 10 Day / Paxton Town Takeover / Pirates, Princes & Princesses Day / Sunset Catch on the Field / International Overdoes Awareness Day",9/1/24,2804,2448,1092,634,2636,1206,0,0,1,0,0,,,,,
67,9/10/24,1877,4418,0.42,Tue,72.1,53.7,61.9,45,0,CLEAR,72,10,Family Funday Sunday / Childhood Cancer Awareness Day / Kids Run the Bases,9/10/24,493,429,1292,670,2633,778,0,1,0,0,0,,,,,
68,9/11/24,2106,4517,0.47,Wed,74.1,50.8,61.4,0,0,CLEAR,74,13,Fan Appreciation Week / Taco & Tequila Tuesday / BOGO soft-serving ice cream,9/11/24,729,627,977,534,2811,945,0,0,0,0,1,,,,,
69,9/12/24,2862,5525,0.52,Thu,76.9,53.7,63.8,0,0,CLEAR,76,12,Fan Appreciation Week / Batting Practice / Pre-game Player Autograph at Sherwood Diner / First Responder / Blood Drive,9/12/24,979,767,1821,1013,2725,1082,1,0,0,0,0,,,,,
70,9/13/24,5125,8043,0.64,Fri,80.9,56,67.6,100,0,CLEAR,81,13,Fan Appreciation Week / Batting Practice / Throwback Thursday - Derek Lowe & Steve Lyons / Look What You Made Us Do : Sparks Fly Pt.2 / WooU Night - MACC Night,9/13/24,2729,2111,2484,1437,2830,1577,0,0,0,0,1,,,,,
71,9/14/24,5140,7949,0.65,Sat,80.3,60.6,68.8,0,0,SUNNY,80,11,Fan Appreciation Week / Batting Practice / Pre-game Player Autograph / Pride at Park / Friday Firework - Love is All You Need,9/14/24,3126,2492,2151,1255,2672,1393,1,0,0,0,0,,,,,
72,9/15/24,5238,8303,0.63,Sun,77.5,58.9,66.9,45,0,SUNNY,73,6,Fan Appreciation Week / Pre-game Autograph / Summer Sendoff presented by MASScot / Los Wepas - Brazil / Sunset Catch on the Field,9/15/24,2652,2291,2725,1451,2926,1496,0,1,0,0,0,,,,,
